water_system_no,water_system_name,type,status,county,source_type,link
SC2970908,CATAWBA FALLS EVENT CENTER,NC,A,LANCASTER,GW,
SC4650063,CATAWBA INDIAN NATION CWS (SC4650063),C,A,YORK,SWP,
SC2920002,CATAWBA RIVER WSP (2920002),C,A,LANCASTER,SW,
SC3230803,CAUGHMAN MEAT PLANT (SC3230803),NC,A,LEXINGTON,GW,
SC3210003,CAYCE CITY OF (SC3210003),C,A,LEXINGTON,SW,
SC1260004,CEDAR GROVE MHP (SC1260004),NC,A,CHESTER,GW,
SC4360010,CEDAR HILL MHP (SC4360010),C,A,SUMTER,GW,
SC3270010,CEDAR RETIREMENT CENTER (SC3270010),C,A,LEXINGTON,GW,
SC4660009,CEDAR VALLEY MHP (SC4660009),C,A,YORK,GW,
SC3972000,CENDYS CAFE & GROCERY (SC3972000),NC,A,PICKENS,GW,
SC4070925,CENTER EXPRESS #3 (SC4070925),NC,A,RICHLAND,GW,
SC3910005,CENTRAL TOWN OF (SC3910005),C,A,PICKENS,SWP,
SC3773001,CG ROXANE BOTTLED WATER (SC3773001),NC,A,OCONEE,GW,
SC3279028,CHAMPION DEFENSE LLC (SC3279028),NC,A,LEXINGTON,GW,
SC0671000,CHAPPELS LABOR CAMP #1 (SC0671000),NC,A,BARNWELL,GW,
SC0671002,CHAPPELS LABOR CAMP #3 (SC0671002),NC,A,BARNWELL,GW,
SC1074003,CHARLESTON ADVENTURE FOREST (SC1074003),NC,A,CHARLESTON,GW,
SC1030020,CHARLESTON TEA GARDEN #1 (SC1030020),NC,A,CHARLESTON,GW,
SC1074008,CHARLESTON TEA GARDEN #2 (SC1074008),NC,A,CHARLESTON,GW,
SC1010001,CHARLESTON WATER SYSTEM (SC1010001),C,A,CHARLESTON,SW,
SC1470856,CHARLIES LANDING (SC1470856),NC,A,CLARENDON,GW,
SC3250104,CHASEHUNT FARMS (SC3250104),C,A,LEXINGTON,GW,
SC3770934,CHATTOOGA BELLE FARM (SC3770934),NC,A,OCONEE,GW,
SC3770918,CHATTOOGA RIVER RESORT (3770918),NC,A,OCONEE,GW,
SC3770812,CHATTOOGA SOUNDS CAMPGROUND (SC3770812),NC,A,OCONEE,GW,
SC0672002,CHAVIS AUCTION (SC0672002),NC,A,BARNWELL,GW,
SC0274000,CHEAP WAY (SC0274000),NC,A,AIKEN,GW,
SC1230006,CHEMTRADE (SC1230006),NTNC,A,CHESTER,GW,
SC1310001,CHERAW TOWN OF (SC1310001),C,A,CHESTERFIELD,SW,
SC3770002,CHEROKEE CREEK BOYS SCHOOL (SC3770002),C,A,OCONEE,GW,
SC1220002,CHESTER METROPOLITAN DISTRICT (1220002),C,A,CHESTER,SW,
SC1320003,CHESTERFIELD CO RURAL WATER (SC1320003),C,A,CHESTERFIELD,GWP,
SC1310002,CHESTERFIELD TOWN OF (1310002),C,A,CHESTERFIELD,GWP,
SC2172007,CHEW AND SMACK SANDWICH SHACK (2172007),NC,A,FLORENCE,GW,
SC3750010,CHICKASAW POINT (SC3750010),C,A,OCONEE,SWP,
SC3570800,CHIGGER RIDGE CAMPGROUND (3570800),NC,A,MCCORMICK,GW,
SC4660077,CHUCKS MHP (SC4660077),C,A,YORK,GW,
SC1570927,CIRCLE C EXPRESS #2 (1570927),NC,A,COLLETON,GW,
SC0770918,CIRCLE C EXPRESS #3 (SC0770918),NC,A,BEAUFORT,GW,
SC1570205,CIRCLE C TRAVEL PLAZA (SC1570205),NC,A,COLLETON,GW,
SC0270911,CIRCLE K #2751 (0270911),NC,A,AIKEN,GW,
SC0270918,CIRCLE K #3081 (0270918),NC,A,AIKEN,GW,
SC0272003,CIRCLE K #3099 (0272003),NC,A,AIKEN,GW,
SC1070913,CIRCLE K 2720878 (1070913),NC,A,CHARLESTON,GW,
SC1570920,CIRCLE K 2723876 (SC1570920),NC,A,COLLETON,GW,
SC2374000,CITY SCAPE WINERY (SC2374000),NC,A,GREENVILLE,GW,
SC1450013,CLARENDON CO W&S HWY 260 (SC1450013),C,A,CLARENDON,GW,
SC0260016,CLAXTON HILLVIEW MANOR (SC0260016),C,A,AIKEN,GW,
SC0220015,CLEARWATER WS DIST (SC0220015),C,A,AIKEN,GWP,
SC2774003,CLELAND WELL (SC2774003),NC,A,JASPER,GW,
SC3910004,CLEMSON CITY OF (SC3910004),C,A,PICKENS,SWP,
SC3970112,CLEMSON UNIV FANTS GROVE W/S (SC3970112),NC,A,PICKENS,SWP,
SC3910006,CLEMSON UNIVERSITY (SC3910006),C,A,PICKENS,SWP,
SC2350023,CLIFFS AT GLASSY THE (SC2350023),C,A,GREENVILLE,GW,
SC3950009,CLIFFS AT KEOWEE (SC3950009),C,A,PICKENS,SWP,
SC3010002,CLINTON CITY OF (SC3010002),C,A,LAURENS,SW,
SC3410002,CLIO TOWN OF (SC3410002),C,A,MARLBORO,GW,
SC4670101,CLOVER SCH DIST BETHANY SCHOOL (4670101),NTNC,A,YORK,GW,
SC4610006,CLOVER TOWN OF (SC4610006),C,A,YORK,SWP,
SC0170104,COLD SPRINGS SCHOOL (SC0170104),NTNC,A,ABBEVILLE,GW,
SC0220002,COLLEGE ACRES PUBLIC W/D (SC0220002),C,A,AIKEN,GW,
SC3970301,COLLEGE PLACE (SC3970301),C,A,PICKENS,SWP,
SC4010001,COLUMBIA CITY OF (SC4010001),C,A,RICHLAND,SW,
SC3772003,COMMON WELLHOUSE & WATER SUPP(SC3772003),NC,A,OCONEE,GW,
